127.0.0.1 - - [01/Oct/2025:13:25:29 +0200] "GET / HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:16 +0200] "GET /Projekt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:17 +0200] "GET /Projekt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:17 +0200] "GET /Projekt/benutzer.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:18 +0200] "GET /Projekt/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:18 +0200] "GET /Projekt/js/login.js HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:18 +0200] "GET /Projekt/css/login.css HTTP/1.1" 200 18799
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:18 +0200] "GET /favicon.ico HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:19 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:19 +0200] "GET /Projekt/login.jsp?uid=1&versuch=1 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6103
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/wasser_still.svg HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/css/style.css HTTP/1.1" 200 17281
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/wasser_medium.svg HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/js/script.js HTTP/1.1" 200 5822
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/wasser_sprudel.svg HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/bier.svg HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/kaffe.svg HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/cola.svg HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:23 +0200] "GET /Projekt/Icon/iso.svg HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:25 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:26:25 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:27:52 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:27:53 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:27:53 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:27:55 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:27:55 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/wasser_still.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/wasser_medium.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/wasser_sprudel.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/bier.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/iso.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/cola.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:29:42 +0200] "GET /Projekt/Icon/kaffe.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:32 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:32 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:36 +0200] "GET /Projekt/css/admin.css HTTP/1.1" 200 17860
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:36 +0200] "GET /Projekt/admin_user.jsp HTTP/1.1" 200 103657
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:36 +0200] "GET /Projekt/js/admin.js HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:36 +0200] "GET /Projekt/admin_user.jsp?uid=3 HTTP/1.1" 200 36023
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:38 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:41 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6103
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:42 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:46 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:46 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:46 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:55 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:55 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:55 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:58 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 15569
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:30:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:00 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9267
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:00 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:01 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9228
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:01 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:02 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6801
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:03 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9228
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:04 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:04 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9267
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:04 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:05 +0200] "GET /Projekt/verlauf.jsp?page=1 HTTP/1.1" 200 15569
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
